Manufacturer;Model;ICAO Designator;Description;Engine Type;Engine N°;Wake Turbulence
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
328 SUPPORT SERVICES;Dornier 328JET;J328;LandPlane;Jet;2;M
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
A2 CZ;Ellipse Spirit;ELSP;LandPlane;Piston;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
ABHCO;SA-342 Gazelle;GAZL;Helicopter;Turboprop/Turboshaft;1;L
